TVD,X,Y,MD,AZIMUT,INCLINACION
3501.0,517440.0,2109860.0,3540.0,180.0,0.0
3531.0,517440.0,2109860.0,3570.0,180.0,0.0
3561.0,517440.0,2109860.0,3600.0,180.0,0.0
3591.0,517440.0,2109860.0,3630.0,180.0,0.0
3621.0,517440.0,2109860.0,3660.0,180.0,0.0
3651.0,517440.0,2109860.0,3690.0,180.0,0.0
3681.0,517440.0,2109860.0,3720.0,180.0,0.0
3711.0,517440.0,2109860.0,3750.0,180.0,0.0
3741.0,517440.0,2109860.0,3780.0,180.0,0.0
3771.0,517440.0,2109860.0,3800.0,180.0,0.0
3791.0,517440.0,2109860.0,3810.0,180.0,0.2562334479925557
3801.0,517439.96,2109860.0,3839.997,179.13194855025446,1.2640573690592647
3830.99,517439.3,2109860.01,3870.002,179.6021190381654,2.751842044875648
3860.96,517437.86,2109860.02,3899.994,179.22577983507193,4.24553105643989
3890.87,517435.64,2109860.05,3929.996,179.42896462688523,5.758542982342635
3920.72,517432.63,2109860.08,3959.995,179.24216351536688,7.238726706783125
3950.48,517428.85,2109860.13,3989.993,179.37178197951536,8.743237755505099
3980.13,517424.29,2109860.18,4019.993,179.35625428582463,10.254653925636145
4009.65,517418.95,2109860.24,4049.992,179.343612257674,11.752693536795428
4039.02,517412.84,2109860.31,4079.991,179.33380002981687,13.259044210799669
4068.22,517405.96,2109860.39,4109.988,179.3241964585925,14.737117955187998
4097.23,517398.33,2109860.48,4139.988,179.31793960682734,16.261514266087843
4126.03,517389.93,2109860.58,4169.985,179.37315652620546,17.741451115837048
4154.6,517380.79,2109860.68,4199.992,179.30483759700917,19.245278321311485
4182.93,517370.9,2109860.8,4229.989,179.3532265757738,20.756238733654506
4210.98,517360.27,2109860.92,4259.983,179.3443550863579,22.256606491599857
4238.74,517348.91,2109861.05,4289.983,179.33600579215002,23.746890771616677
4266.2,517336.83,2109861.19,4319.991,179.32859581715002,25.251554666274085
4293.34,517324.03,2109861.34,4325.313,179.51030440687077,26.08513158343814
4298.12,517321.69,2109861.36,4349.982,179.31793960682734,26.276001102361676
4320.24,517310.77,2109861.49,4379.982,179.35286133569372,26.2759094635468
4347.14,517297.49,2109861.64,4409.99,179.35286133569372,26.267584558848604
4374.05,517284.21,2109861.79,4439.986,179.30920267377712,26.259267949785315
4400.95,517270.94,2109861.95,4469.986,179.35286133569372,26.2759094635468
4427.85,517257.66,2109862.1,4499.986,179.35286133569372,26.2759094635468
4454.75,517244.38,2109862.25,4529.981,179.30920267377712,26.259267949785315
4481.65,517231.11,2109862.41,4559.981,179.35286133569372,26.2759094635468
4508.55,517217.83,2109862.56,4589.99,179.35286133569372,26.267584558848604
4535.46,517204.55,2109862.71,4619.99,179.30972280213493,26.276296302259055
4562.36,517191.27,2109862.87,4649.985,179.3523737067816,26.25888076448062
